-130, -20, 0, 1398101
-130, -20, 1, 1398101
-130, -20, 2, 87381
-130, -19, 0, 1398101
-130, -19, 1, 1398101
-130, -19, 2, 87381
-130, -18, 0, 1398101
-130, -18, 1, 1398101
-130, -18, 2, 87381
-130, -17, 0, 1398101
-130, -17, 1, 1398101
-130, -17, 2, 87381
-130, -16, 0, 1398101
-130, -16, 1, 1398101
-130, -16, 2, 87381
-130, -15, 0, 1398101
-130, -15, 1, 1398101
-130, -15, 2, 87381
-130, -14, 0, 1398101
-130, -14, 1, 1398101
-130, -14, 2, 87381
-130, -13, 0, 1398101
-130, -13, 1, 1398101
-130, -13, 2, 87381
-130, -12, 0, 1398101
-130, -12, 1, 1398101
-130, -12, 2, 87381
-130, -11, 0, 1398101
-130, -11, 1, 1398101
-130, -11, 2, 87381
-130, -10, 0, 1398101
-130, -10, 1, 1398101
-130, -10, 2, 87381
-130, -9, 0, 1398101
-130, -9, 1, 1398101
-130, -9, 2, 87381
-130, -8, 0, 1398101
-130, -8, 1, 1398101
-130, -8, 2, 87381
-130, -7, 0, 1398101
-130, -7, 1, 1398101
-130, -7, 2, 87381
-130, -6, 0, 1398101
-130, -6, 1, 1398101
-130, -6, 2, 87381
-130, -5, 0, 1398101
-130, -5, 1, 1398101
-130, -5, 2, 87381
-130, -4, 0, 1398101
-130, -4, 1, 1398101
-130, -4, 2, 87381
-130, -3, 0, 1398101
-130, -3, 1, 1398101
-130, -3, 2, 87381
-129, -20, 0, 1398101
-129, -20, 1, 1398101
-129, -20, 2, 87381
-129, -19, 0, 1398101
-129, -19, 1, 1398101
-129, -19, 2, 87381
-129, -18, 0, 1398101
-129, -18, 1, 1398101
-129, -18, 2, 87381
-129, -17, 0, 1398101
-129, -17, 1, 1398101
-129, -17, 2, 87381
-129, -16, 0, 1398101
-129, -16, 1, 1398101
-129, -16, 2, 87381
-129, -15, 0, 1398101
-129, -15, 1, 1398101
-129, -15, 2, 87381
-129, -14, 0, 1398101
-129, -14, 1, 1398101
-129, -14, 2, 87381
-129, -13, 0, 1398101
-129, -13, 1, 1398101
-129, -13, 2, 87381
-129, -12, 0, 1398101
-129, -12, 1, 1398101
-129, -12, 2, 87381
-129, -11, 0, 1398101
-129, -11, 1, 1398101
-129, -11, 2, 87381
-129, -10, 0, 1398101
-129, -10, 1, 1398101
-129, -10, 2, 87381
-129, -9, 0, 1398101
-129, -9, 1, 1398101
-129, -9, 2, 87381
-129, -8, 0, 1398101
-129, -8, 1, 1398101
-129, -8, 2, 87381
-129, -7, 0, 1398101
-129, -7, 1, 1398101
-129, -7, 2, 87381
-129, -6, 0, 1398101
-129, -6, 1, 1398101
-129, -6, 2, 87381
-129, -5, 0, 1398101
-129, -5, 1, 1398101
-129, -5, 2, 87381
-129, -4, 0, 1398101
-129, -4, 1, 1398101
-129, -4, 2, 87381
-129, -3, 0, 1398101
-129, -3, 1, 1398101
-129, -3, 2, 87381
-128, -20, 0, 1398101
-128, -20, 1, 1398101
-128, -20, 2, 87381
-128, -19, 0, 1398101
-128, -19, 1, 1398101
-128, -19, 2, 87381
-128, -18, 0, 1398101
-128, -18, 1, 1398101
-128, -18, 2, 87381
-128, -17, 0, 1398101
-128, -17, 1, 1398101
-128, -17, 2, 87381
-128, -16, 0, 1398101
-128, -16, 1, 1398101
-128, -16, 2, 87381
-128, -15, 0, 1398101
-128, -15, 1, 1398101
-128, -15, 2, 87381
-128, -14, 0, 1398101
-128, -14, 1, 1398101
-128, -14, 2, 87381
-128, -13, 0, 1398101
-128, -13, 1, 1398101
-128, -13, 2, 87381
-128, -12, 0, 1398101
-128, -12, 1, 1398101
-128, -12, 2, 87381
-128, -11, 0, 1398101
